Front;Back
"<b>Kernidee</b>: Beweis selbstadjungiert \(\Rightarrow\) reelle EW?";"\(\lambda\langle v,v\rangle=\langle f(v),v\rangle=\langle v,f(v)\rangle=\bar\lambda\langle v,v\rangle\), \(v\neq0\Rightarrow\lambda=\bar\lambda\).<br><i>(Kap. 8)</i>"
"<b>Reeller Spektralsatz</b> (Satz 8.14)?";"\(A\in\mathbb{R}^{n\times n}\) symmetrisch \(\Rightarrow\) reelle EW, ONB von \(\mathbb{R}^n\) aus Eigenvektoren, orthogonales \(S\) mit \(S^{\mathsf T}AS\) diagonal.<br><i>(Kap. 8)</i>"
"<b>Kernidee</b>: Beweis reeller Spektralsatz?";"(i) EW reell (via hermitesch). (ii) reelle Induktion: reeller EW \(\lambda\) \(\Rightarrow\) reeller EV \(u\); \(U^\perp\) \(A\)-invariant (Symmetrie); \(A|_{U^\perp}\) symmetrisch, induzieren.<br><i>(Kap. 8)</i>"
"<b>Algorithmus</b>: orthonormale Diagonalisierung von \(A\)?";"\(A\) normal/symmetrisch prüfen; je Eigenraum \(\ker(A-\lambda E)\) <b>Gram-Schmidt</b>; \(S\) aus ONB-Eigenvektoren; \(S^*AS\) diagonal.<br><i>(Kap. 8)</i>"
"<b>Warum</b> sind Eigenräume normaler Operatoren zu verschiedenen \(\lambda\) orthogonal?";"\(\lambda\langle v,w\rangle=\langle f(v),w\rangle=\langle v,f^*(w)\rangle=\mu\langle v,w\rangle\) (Lemma 8.10), \(\lambda\neq\mu\Rightarrow v\perp w\).<br><i>(Kap. 8)</i>"
"<b>Anwendung</b>: Wofür braucht man den (reellen) Spektralsatz?";"Hauptachsentransformation quadratischer Formen, PCA/Hauptkomponenten, Trägheits-/Kovarianzmatrizen, Quantenmechanik.<br><i>(Kap. 8)</i>"
"Beispiel: \(A=\begin{psmallmatrix}2&1\\1&2\end{psmallmatrix}\) orthogonal diagonalisieren?";"EW \(1,3\); ONB-Eigenvektoren \(\tfrac{1}{\sqrt2}(1,-1),\tfrac{1}{\sqrt2}(1,1)\); \(S^{\mathsf T}AS=\mathrm{diag}(1,3)\).<br><i>(Kap. 8)</i>"
"Beispiel: Hauptachsen von \(q(x,y)=5x^2+4xy+5y^2\)?";"Matrix \(\begin{psmallmatrix}5&2\\2&5\end{psmallmatrix}\), EW \(3,7\) \(\Rightarrow q=3\xi^2+7\eta^2\) (Ellipse).<br><i>(Kap. 8)</i>"
"<b>Gegenbeispiel</b>: diagonalisierbar, aber nicht orthonormal diagonalisierbar?";"\(\begin{psmallmatrix}1&1\\0&2\end{psmallmatrix}\): EW \(1,2\), aber nicht normal \(\Rightarrow\) keine ONB aus Eigenvektoren.<br><i>(Kap. 8)</i>"
"<b>Gegenbeispiel</b>: reeller Spektralsatz für normale (nicht symmetrische) Matrix?";"\(\begin{psmallmatrix}0&-1\\1&0\end{psmallmatrix}\) ist orthogonal (normal), aber über \(\mathbb{R}\) nicht diagonalisierbar. Es braucht <b>Symmetrie</b>.<br><i>(Kap. 8)</i>"
"<b>Fehler</b>: diagonalisierbar = orthonormal diagonalisierbar?";"Falsch — ONB aus Eigenvektoren nur bei <b>normalen</b> Operatoren.<br><i>(Kap. 8)</i>"
"<b>Fehler</b>: reeller Spektralsatz für alle normalen Matrizen?";"Falsch — nur für <b>symmetrische</b> reelle Matrizen (\(A^{\mathsf T}=A\)).<br><i>(Kap. 8)</i>"
"<b>Fehler</b>: \(A^*=\bar A^{\mathsf T}\) ohne ONB?";"Gilt nur bzgl. einer <b>ONB</b> des Standardprodukts; \(f^*\) hängt vom Skalarprodukt ab.<br><i>(Kap. 8)</i>"
"<b>Fehler</b>: \(S^{-1}\) statt \(S^*\) bei der Diagonalisierung?";"Nur bei orthonormalem \(S\) gilt \(S^{-1}=S^*\); daher \(S\) unitär/orthogonal machen (Gram-Schmidt je Eigenraum).<br><i>(Kap. 8)</i>"
"<b>Vergleich</b>: normal vs. selbstadjungiert vs. isometrisch?";"normal: \(ff^*=f^*f\), EW beliebig.<br>selbstadj.: \(f^*=f\), EW reell.<br>isometrisch: \(f^*=f^{-1}\), \(|\lambda|=1\).<br>Alle: ONB aus Eigenvektoren (über \(\mathbb{C}\)).<br><i>(Kap. 8)</i>"
"<b>Vergleich</b>: \(O_n(\mathbb{R})\) vs. \(U_n(\mathbb{C})\)?";"\(O_n\): \(A^{\mathsf T}A=E\), \(\det\pm1\), Drehungen/Spiegelungen.<br>\(U_n\): \(A^*A=E\), \(|\det|=1\).<br><i>(Kap. 8)</i>"
"<b>Transfer</b>: \(A\) reell symmetrisch — welcher Satz, welches Ergebnis?";"Reeller Spektralsatz: orthogonal diagonalisierbar, reelle EW, orthogonales \(S\) mit \(S^{\mathsf T}AS\) diagonal.<br><i>(Kap. 8)</i>"
"<b>Transfer</b>: Wann garantiert eine ONB aus Eigenvektoren existiert?";"Genau wenn \(f\) normal ist (über \(\mathbb{C}\)); reell: wenn symmetrisch.<br><i>(Kap. 8)</i>"
"<b>Verbindung</b>: Wie verhält sich ein normaler Operator in JNF-Sprache?";"Alle Jordan-Blöcke haben Größe \(1\) (\(\mu_f\) quadratfrei über \(\mathbb{C}\)) — JNF ist Diagonalmatrix, sogar mit ONB.<br><i>(Kap. 8)</i>"
"<b>Entscheidung</b>: Welchen Satz nimmst du für symmetrische reelle Matrix diagonalisieren?";"Reeller Spektralsatz (orthogonale Diagonalisierung), nicht die allgemeine JNF/Diagonalisierung.<br><i>(Kap. 8)</i>"
"Notation: Wofür steht \(\chi_f\)?";"Charakteristisches Polynom \(\det(X\,\mathrm{id}-f)\); normiert, Grad \(n\).<br><i>(Notation)</i>"
"Notation: Wofür steht \(\mu_f\)?";"Minimalpolynom: normierter Annihilator minimalen Grades, \(\mu_f(f)=0\).<br><i>(Notation)</i>"
"Notation: \(\mathrm{Eig}(f,\lambda)\) vs. \(\mathrm{Haupt}(f,\lambda)\)?";"\(\mathrm{Eig}=\ker(f-\lambda\,\mathrm{id})\); \(\mathrm{Haupt}=\bigcup_\ell\ker((f-\lambda\,\mathrm{id})^\ell)\).<br><i>(Notation)</i>"
"Notation: Was ist \(J^{(t)}(\lambda)\)?";"Jordan-Block: \(t\times t\), \(\lambda\) auf Diagonale, \(1\) auf oberer Nebendiagonale.<br><i>(Notation)</i>"
"Notation: Was bedeutet \(d_k(\lambda)\)?";"\(\dim\ker((f-\lambda\,\mathrm{id})^k)\), \(d_0=0\); daraus Blockzahlen.<br><i>(Notation)</i>"
"Notation: \(V/U\) und \(p_U\)?";"Quotientenraum aus Nebenklassen \(v+U\); \(p_U\colon V\to V/U,\ v\mapsto v+U\).<br><i>(Notation)</i>"
"Notation: \(\bar f\) (bei \(f\)-invariantem \(U\))?";"Induzierte Abbildung \(\bar f\colon V/U\to V/U,\ v+U\mapsto f(v)+U\).<br><i>(Notation)</i>"
"Notation: \(U^\perp\)?";"Orthogonales Komplement \(\{w\mid w\perp v\ \forall v\in U\}\).<br><i>(Notation)</i>"
"Notation: \(\Pi_U\)?";"Orthogonale Projektion auf \(U\); \(\ker\Pi_U=U^\perp\).<br><i>(Notation)</i>"
"Notation: \(A^*\) und \(f^*\)?";"\(A^*=\bar A^{\mathsf T}\) (konjugiert-transponiert); \(f^*\) adjungiert: \(\langle f(v),w\rangle=\langle v,f^*(w)\rangle\).<br><i>(Notation)</i>"
"Notation: \(O_n\) vs. \(U_n\)?";"\(O_n(\mathbb{R})\): \(A^{\mathsf T}A=E\); \(U_n(\mathbb{C})\): \(A^*A=E\).<br><i>(Notation)</i>"
"Notation: \(\bar z\), \(|z|\), \(e^{i\alpha}\)?";"\(\bar z=a-bi\); \(|z|=\sqrt{a^2+b^2}\); \(e^{i\alpha}=\cos\alpha+i\sin\alpha\).<br><i>(Notation)</i>"
"Welcher Begriff: „normiert, annihiliert \(f\), minimaler Grad“?";"Minimalpolynom \(\mu_f\).<br><i>(Erkennung)</i>"
"Welcher Begriff: „Operator mit \(f^*=f\)“?";"selbstadjungiert.<br><i>(Erkennung)</i>"
"Welcher Begriff: „Operator mit \(f f^*=f^* f\)“?";"normal.<br><i>(Erkennung)</i>"
"Welcher Begriff: „längentreu / \(f^*=f^{-1}\)“?";"Isometrie (orthogonal/unitär).<br><i>(Erkennung)</i>"
"Welcher Begriff: „\(g^N=0\) für ein \(N\)“?";"nilpotent.<br><i>(Erkennung)</i>"
"Welcher Begriff: „\(x=ab\) erzwingt \(a\) oder \(b\) Einheit“?";"irreduzibel.<br><i>(Erkennung)</i>"
"Welcher Begriff: „\(x\mid ab\Rightarrow x\mid a\) oder \(x\mid b\)“?";"Primelement.<br><i>(Erkennung)</i>"
"Welcher Begriff: „hermitesch und \(\langle v,v\rangle>0\) für \(v\neq0\)“?";"positiv definit (Skalarprodukt).<br><i>(Erkennung)</i>"
"Welcher Begriff: „orthonormal und Basis“?";"Orthonormalbasis (ONB).<br><i>(Erkennung)</i>"
"Welcher Begriff: „\(V=\sum U_j\), Nulldarstellung nur trivial“?";"direkte Summe \(\bigoplus U_j\).<br><i>(Erkennung)</i>"
"Welcher Satz: „\(\chi_f(f)=0\)“?";"Cayley-Hamilton.<br><i>(Erkennung)</i>"
"Welche Ungleichung: „\(|\langle v,w\rangle|\le\|v\|\|w\|\)“?";"Cauchy-Schwarz.<br><i>(Erkennung)</i>"
"Voraussetzung: Wann existiert die JNF von \(f\)?";"\(\chi_f\) zerfällt über \(k\) in Linearfaktoren (über \(\mathbb{C}\) immer).<br><i>(Voraussetzung)</i>"
"Voraussetzung: Wann gilt \(V=U\oplus U^\perp\)?";"\(U\) endlichdimensional (Skalarproduktraum).<br><i>(Voraussetzung)</i>"
"Voraussetzung: Wann ist eine reelle Matrix orthogonal diagonalisierbar?";"Wenn sie <b>symmetrisch</b> ist (\(A^{\mathsf T}=A\)).<br><i>(Voraussetzung)</i>"
"Voraussetzung: Wann ist eine komplexe Matrix unitär diagonalisierbar?";"Wenn sie <b>normal</b> ist (\(AA^*=A^*A\)).<br><i>(Voraussetzung)</i>"
"Voraussetzung: Wann hat \(P\neq0\) höchstens \(\deg P\) Nullstellen?";"Wenn \(k\) ein <b>Körper</b> (Integritätsring) ist.<br><i>(Voraussetzung)</i>"
"Voraussetzung: Wann funktioniert Gram-Schmidt?";"Eingabevektoren müssen <b>linear unabhängig</b> sein.<br><i>(Voraussetzung)</i>"
"Voraussetzung: Wann gilt \(\dim(V/U)=\dim V-\dim U\)?";"\(\dim V<\infty\).<br><i>(Voraussetzung)</i>"
"Voraussetzung: Was braucht Cayley-Hamilton?";"Nichts Besonderes — gilt über jedem Körper, \(\chi\) muss <b>nicht</b> zerfallen.<br><i>(Voraussetzung)</i>"
"Rechnen: \(\gcd(X^3-1,X^2-1)\) über \(\mathbb{Q}\)?";"\(X^3-1=X(X^2-1)+(X-1)\), \(X^2-1=(X+1)(X-1)\) \(\Rightarrow\gcd=X-1\).<br><i>(Beispiel)</i>"
"Rechnen: Ist \(\begin{psmallmatrix}2&1\\0&2\end{psmallmatrix}\) diagonalisierbar?";"\(\chi=(X-2)^2\), \(\dim\mathrm{Eig}(2)=1<2\) \(\Rightarrow\) <b>nein</b>.<br><i>(Beispiel)</i>"
"Rechnen: \(\mu_A\) für \(A=\begin{psmallmatrix}4&0\\0&4\end{psmallmatrix}\)?";"\(\mu_A=(X-4)\); \(\chi_A=(X-4)^2\).<br><i>(Beispiel)</i>"
"Rechnen: Lösungen von \(w^2=i\)?";"\(i=e^{i\pi/2}\Rightarrow w_0=e^{i\pi/4}=\tfrac{1}{\sqrt2}(1+i)\), \(w_1=-w_0\).<br><i>(Beispiel)</i>"
"Rechnen: \(\dfrac{1+i}{1-i}\)?";"\(=\dfrac{\sqrt2 e^{i\pi/4}}{\sqrt2 e^{-i\pi/4}}=e^{i\pi/2}=i\).<br><i>(Beispiel)</i>"
"Rechnen: Cauchy-Schwarz auf \(\mathbb{R}^n\) — konkrete Form?";"\(|\sum x_iy_i|\le\sqrt{\sum x_i^2}\sqrt{\sum y_i^2}\).<br><i>(Beispiel)</i>"
"Rechnen: Blockstruktur bei \(\lambda\), \(d_1=1,d_2=2=n_\lambda\)?";"\(\ell(1)=2\cdot1-0-2=0\), \(\ell(2)=2\cdot2-1-2=1\): ein Block \(J^{(2)}(\lambda)\).<br><i>(Beispiel)</i>"
"Rechnen: \(A^{-1}\) via Cayley-Hamilton für \(A=\begin{psmallmatrix}1&2\\3&4\end{psmallmatrix}\)?";"\(\chi=X^2-5X-2\Rightarrow A^{-1}=\tfrac12(A-5E)=\tfrac12\begin{psmallmatrix}-4&2\\3&-1\end{psmallmatrix}\).<br><i>(Beispiel)</i>"
"Rechnen: Faktorisiere \(X^4+1\) über \(\mathbb{R}\)?";"\((X^2-\sqrt2 X+1)(X^2+\sqrt2 X+1)\).<br><i>(Beispiel)</i>"
"Rechnen: Winkel zwischen \(f=1\) und \(g=t\) in \(C([0,1])\)?";"\(\cos\angle=\frac{1/2}{1\cdot 1/\sqrt3}=\frac{\sqrt3}{2}\Rightarrow30°\).<br><i>(Beispiel)</i>"
"<b>Entscheidung</b>: \(\chi_f\) zerfällt nicht über \(k\). Was ist möglich?";"Keine Diagonalisierung/Trigonalisierung/JNF über \(k\); ggf. zu \(\mathbb{C}\) übergehen.<br><i>(Entscheidung)</i>"
"<b>Entscheidung</b>: \(\chi_f\) zerfällt; Diagonalisierbarkeit schnell klären?";"\(\mu_f\) quadratfrei? \(\Rightarrow\) diagonalisierbar (spart Eigenraumvergleich).<br><i>(Entscheidung)</i>"
"<b>Entscheidung</b>: \(\chi\) zerfällt, aber nicht diagonalisierbar — welche Normalform?";"Jordan-Normalform (Kernketten \(d_k\), Blockzahl-Formel).<br><i>(Entscheidung)</i>"
"<b>Entscheidung</b>: reelle symmetrische Matrix — welcher Satz?";"Reeller Spektralsatz: orthogonale Diagonalisierung, reelle EW.<br><i>(Entscheidung)</i>"
"<b>Entscheidung</b>: komplexe Matrix mit \(AA^*=A^*A\) — welcher Satz?";"Unitärer Spektralsatz: ONB aus Eigenvektoren, \(S^*AS\) diagonal.<br><i>(Entscheidung)</i>"
"<b>Entscheidung</b>: nächster Punkt eines Unterraums zu \(v\)?";"Orthogonale Projektion \(\Pi_U(v)\) (Bestapproximation).<br><i>(Entscheidung)</i>"
"<b>Entscheidung</b>: aus beliebiger Basis eine ONB machen?";"Gram-Schmidt.<br><i>(Entscheidung)</i>"
"<b>Entscheidung</b>: \(A^{100}\), \(A\) diagonalisierbar?";"Diagonalisieren: \(A^{100}=TD^{100}T^{-1}\).<br><i>(Entscheidung)</i>"
"<b>Entscheidung</b>: \(A^{100}\), nicht diagonalisierbar, \(\chi\) zerfällt?";"JNF (Block-Potenzen) oder Cayley-Hamilton-Reduktion.<br><i>(Entscheidung)</i>"
"<b>Entscheidung</b>: ggT + Linearkombination zweier Polynome?";"Erweiterter Euklidischer Algorithmus (Bézout).<br><i>(Entscheidung)</i>"
"<b>Roter Faden</b>: Welches eine Prinzip trägt Kap. 0, 2–4 und 8?";"„Nullstelle \(\Leftrightarrow\) Linearfaktor“ — von Faktorisierung über Eigenwerte bis zum Spektrum.<br><i>(Synthese)</i>"
"<b>Synthese</b>: Warum ist \(\mathbb{C}\) für die ganze Theorie so bequem?";"Algebraisch abgeschlossen \(\Rightarrow\chi\) zerfällt immer \(\Rightarrow\) JNF existiert; Konjugation trägt Spektralsatz.<br><i>(Synthese)</i>"
"<b>Synthese</b>: Diagonalisierbarkeit in drei Sprachen?";"Eigenräume: geom = alg; Minimalpolynom: \(\mu_f\) quadratfrei; JNF: alle Blöcke Größe \(1\).<br><i>(Synthese)</i>"
"<b>Synthese</b>: Wie verfeinert der Spektralsatz die Diagonalisierbarkeit?";"Er liefert eine <b>orthonormale</b> Eigenbasis (perpendikuläre Hauptachsen) für normale/symmetrische Operatoren.<br><i>(Synthese)</i>"
"<b>Synthese</b>: Wo taucht die Bézout-Partition der Eins auf?";"Kap. 3 (\(\mu\) quadratfrei \(\Rightarrow\) diag) und Kap. 4 (Hauptraumzerlegung).<br><i>(Synthese)</i>"
"<b>Synthese</b>: Wo wird \(V/U\) als Beweiswerkzeug gebraucht?";"Trigonalisierbarkeit (Kap. 2) und Jordan-Normalform (Kap. 4), per Induktion.<br><i>(Synthese)</i>"
"<b>Synthese</b>: Rolle der Konjugation quer durch Teil III?";"Macht \(\langle v,v\rangle\) reell (Kap. 6), definiert \(A^*\) und normale Operatoren (Kap. 8).<br><i>(Synthese)</i>"
"<b>Synthese</b>: \(\chi_f\) vs. \(\mu_f\) vs. JNF — was weiß wer?";"\(\chi\): EW mit alg. Vielfachheit. \(\mu\): größter Block je EW. JNF: <b>alle</b> Blockgrößen.<br><i>(Synthese)</i>"
"<b>Falle</b>: Legen \(\mu_f\) und \(\chi_f\) die JNF fest?";"Nein — \(\{2,2\}\) und \(\{2,1,1\}\) teilen \(\chi,\mu\), haben aber verschiedene JNF. Man braucht \(d_k\).<br><i>(Falle)</i>"
"<b>Falle</b>: Impliziert „diagonalisierbar“ „orthonormal diagonalisierbar“?";"Nein — Letzteres nur bei normalen Operatoren.<br><i>(Falle)</i>"
"<b>Falle</b>: Eigenraum als Kern oder Bild?";"<b>Kern</b> von \(\lambda E-A\)!<br><i>(Falle)</i>"
"<b>Falle</b>: Irreduzibilität ohne Körperangabe?";"Immer „über welchem \(k\)“ — \(X^2-2\) irreduzibel über \(\mathbb{Q}\), reduzibel über \(\mathbb{R}\).<br><i>(Falle)</i>"
"<b>Falle</b>: \(n\)-te Wurzeln — wie viele?";"Genau \(n\); Winkel \(+\tfrac{2\pi k}{n}\).<br><i>(Falle)</i>"
"<b>Falle</b>: Projektionsformel ohne Orthonormierung?";"\(\sum\langle v,b_i\rangle b_i\) nur mit ONB; sonst durch \(\|b_i\|^2\) teilen.<br><i>(Falle)</i>"
"<b>Verständnis</b>: Warum misst der \(\mu_f\)-Exponent die „Bösartigkeit“ eines EW?";"Er ist die Größe des größten Jordan-Blocks: \(=1\) harmlos, \(>1\) defekt.<br><i>(Verständnis)</i>"
"<b>Verständnis</b>: Warum reicht „\(\chi\) zerfällt“ nicht für Diagonalisierbarkeit?";"Es sichert genug EW, nicht genug <b>Eigenvektoren</b> (geom. kann \(<\) alg. sein).<br><i>(Verständnis)</i>"
"<b>Verständnis</b>: Warum ist \(J^{(t)}(\lambda)\), \(t\ge2\), nicht diagonalisierbar?";"Geometrische Vielfachheit \(1<t\): nur ein Eigenvektor.<br><i>(Verständnis)</i>"
"<b>Verständnis</b>: Warum macht die orthogonale Projektion den Fehler minimal?";"Fehler \(\perp U\); jeder andere Punkt liegt per Pythagoras weiter weg.<br><i>(Verständnis)</i>"
"<b>Verständnis</b>: Warum sind selbstadjungierte EW reell?";"\(\lambda\langle v,v\rangle=\langle fv,v\rangle=\langle v,fv\rangle=\bar\lambda\langle v,v\rangle\Rightarrow\lambda=\bar\lambda\).<br><i>(Verständnis)</i>"
"<b>Verständnis</b>: Warum garantiert „normal“ perpendikuläre Achsen?";"\(f,f^*\) vertauschen; Induktion über \(U^\perp\) liefert ONB aus Eigenvektoren.<br><i>(Verständnis)</i>"
"<b>Anwendung</b>: Wozu die Jordan-Chevalley-Zerlegung \(f=f_d+f_n\)?";"Trennt diagonalisierbaren und nilpotenten Anteil; nützlich für \(e^{tA}\) und DGL.<br><i>(Anwendung)</i>"
"<b>Anwendung</b>: Wofür steht die Hauptachsentransformation?";"Quadratische Form \(q\) in \(\sum\lambda_i\xi_i^2\) bringen (Quadriken, PCA).<br><i>(Anwendung)</i>"
"<b>Anwendung</b>: Wozu die QR-Zerlegung (aus Gram-Schmidt)?";"Kleinste Quadrate stabil lösen; \(A=QR\), \(Q\) mit ONB-Spalten.<br><i>(Anwendung)</i>"
"<b>Anwendung</b>: Fourier-Reihe als Spezialfall welcher Idee?";"Orthogonale Projektion auf \(\mathrm{span}\{\sin,\cos\}\) — Bestapproximation im Funktionenraum.<br><i>(Anwendung)</i>"
"<b>Entscheidung</b>: Wann genau <b>diagonalisierbar</b> / <b>trigonalisierbar</b> / <b>JNF</b>?";"<b>trigonalisierbar</b> \(\Leftrightarrow\chi_f\) zerfällt über \(k\).<br><b>JNF existiert</b> \(\Leftrightarrow\chi_f\) zerfällt (gleiche Bedingung; über \(\mathbb{C}\) immer).<br><b>diagonalisierbar</b> \(\Leftrightarrow\chi_f\) zerfällt <b>und</b> geom = alg (\(\Leftrightarrow\mu_f\) quadratfrei \(\Leftrightarrow\) alle Jordan-Blöcke Größe \(1\)).<br><i>(Entscheidung)</i>"
